No,Language,Class,Subject,Title,YoutubeLink,Description,DriveLink,next,,,,,
1,Bengali,9&10,Maths,স্থানাঙ্ক জ্যামিতি(Coordinate Geometry) - Bengali Maths,https://www.youtube.com/watch?v=xYnrGaLsFFw&list=PLFBHsqw1knQfBwEOW5DqndV4lUQdQWyQo&index=1,This video explains 'Co-ordinate Geometry' and its basic applications. Important theorems related to co-ordinate geometry are then explained including Pythagoras' theorem.,http://bit.ly/2mkq1u1,3,,,,,
2,Bengali,9&10,Maths,সরলরেখাংশের অন্তর্বিভক্তও বহির্বিভক্ত (Division of Straight Line Segments) - Bengali Maths,https://www.youtube.com/watch?v=ar2TJexP1qg&list=PLFBHsqw1knQfBwEOW5DqndV4lUQdQWyQo&index=2,This video illustrates the idea behind similar triangles and how to apply that basic geometry to find out formulas for dividing a straight line internally and externally.,http://bit.ly/2lUsWgH,3,,,,,
3,Bengali,9&10,Maths,এিভুজাকৃতি ক্ষেএেরক্ষেএফল (Area of a triangular region) - Bengali Maths,https://www.youtube.com/watch?v=8UgwiqYIFYQ&index=3&list=PLFBHsqw1knQfBwEOW5DqndV4lUQdQWyQo,This video explains how to calculate area of a triangle using co-ordinate geometry. The formula is derived first and it is then followed by illustrative examples.,http://bit.ly/2mTYqTi,3,,,,,
4,Bengali,9&10,Maths,বহুপদী সংখ্যামালা(Polynomials) - Bengali Maths,https://www.youtube.com/watch?v=Zo7wGQlaI70&list=PLFBHsqw1knQfBwEOW5DqndV4lUQdQWyQo&index=4,"This video is based on the chapter ""Polynomials"" of the West Bengal state board.",http://bit.ly/2lUyeJd,3,,,,,
5,Bengali,9&10,Maths,গুন্নতর প্রগতি (Geometric Progression) - Bengali Maths,https://www.youtube.com/watch?v=VM-fUmXCNrA&index=5&list=PLFBHsqw1knQfBwEOW5DqndV4lUQdQWyQo,"Geometric progression and the related terms, like common ratio etc. are explained in this video. The formulae for the sum of a geometric progress for both finite and infinite series are derived and explained.",http://bit.ly/2nhh096,3,,,,,
6,Bengali,9&10,Maths,গুন্নতর প্রগতি (প্রশ্ন ও উত্তর) | Geometric Progression (Questions and answers) | Bengali Maths,https://www.youtube.com/watch?v=BZKQi_gT08M&index=6&list=PLFBHsqw1knQfBwEOW5DqndV4lUQdQWyQo,"This video consists of solved examples for the topic geometric progressions, whose theory was explained in an earlier video.",http://bit.ly/2nxRecK,3,,,,,
7,Bengali,9&10,Maths,ভুপাশেত্র এবং ঘনফল ভাগ1 (Surface Area and Volume Part 1) - Bengali Maths,https://www.youtube.com/watch?v=64PsLHohS2U&index=8&list=PLFBHsqw1knQfBwEOW5DqndV4lUQdQWyQo,"This video introduces Surface Area and Volume for common solids. In this particular video, cube and cuboid are covered.",http://bit.ly/2nxKqvy,0,,,,,
8,Bengali,9&10,Maths,ভুপাশেত্র এবং ঘনফল ভাগ2 (Surface Area and Volume Part 2) - Bengali Maths,https://www.youtube.com/watch?v=JoM2GdXCwGY&list=PLFBHsqw1knQfBwEOW5DqndV4lUQdQWyQo&index=7,This video covers cylinder and cone. The expressions for surface area and volume are explained.,http://bit.ly/2mFP650,2,,,,,
9,Bengali,9&10,Maths,বৃত্ত - অংশ 1/2 (Circle - Part 1/2) - Bengali Maths,https://www.youtube.com/watch?v=ytMlnZPtMV4&index=9&list=PLFBHsqw1knQfBwEOW5DqndV4lUQdQWyQo,"In this video, various terminologies related to a circle like chord, major arc, minor arc, diameter, etc. are explained.",http://bit.ly/2nnaoD3,0,,,,,
10,Bengali,9&10,Maths,বৃত্ত - অংশ 2/2 (Circle - Part 2/2) - Bengali Maths,https://www.youtube.com/watch?v=KrFCDcOnTY0&list=PLFBHsqw1knQfBwEOW5DqndV4lUQdQWyQo&index=10,"In this video, various theorems related to circles are discussed, like the bisector of a chord being perpendicular to it, equality of angles subtended by a chord, etc.",http://bit.ly/2mTZI0J,2,,,,,
